11106634328000,0,-101.46,-163.14,-16.859999,Other
11106654529000,0,-101.4,-163.01999,-16.68,Other
11106674708000,0,-101.46,-162.72,-16.5,Other
11106694894000,0,-101.28,-162.48,-16.02,Other
11106715050000,0,-101.22,-162.36,-15.96,Other
11106735226000,0,-101.28,-162.18,-15.839999,Other
11106752974000,0,-101.04,-162.48,-15.839999,Other
11106772662000,0,-101.22,-162.36,-16.02,Other
11106792935000,0,-101.28,-162.06,-16.44,Other
11106813187000,0,-101.1,-161.87999,-16.44,Other
11106833456000,0,-101.28,-161.51999,-16.199999,Other
11106851082000,0,-101.52,-160.98,-16.08,Other
11106861374000,0,-101.759995,-160.86,-16.08,Other
11106891151000,0,-101.88,-160.73999,-16.02,Other
11106911424000,0,-101.939995,-160.86,-16.08,Other
11106931723000,0,-102.119995,-160.73999,-16.199999,Other
11106959543000,0,-101.939995,-160.56,-16.619999,Other
11106970188000,0,-101.939995,-160.73999,-16.859999,Other
11106999792000,0,-101.34,-160.86,-17.34,Other
11107020136000,0,-100.5,-161.04,-18.119999,Other
11107040426000,0,-99.6,-160.8,-18.6,Other
11107057754000,0,-98.7,-160.5,-18.6,Other
11107068277000,0,-98.34,-159.78,-18.6,Other
11107097999000,0,-97.02,-159.0,-17.52,Other
11107118273000,0,-96.18,-157.31999,-16.5,Other
11107138434000,0,-95.28,-155.81999,-15.36,Other
11107158590000,0,-94.74,-154.62,-14.099999,Other
11107176036000,0,-94.86,-153.66,-13.799999,Other
11107195671000,0,-94.68,-153.48,-13.799999,Other
11107215919000,0,-94.32,-153.42,-13.74,Other
11107236188000,0,-94.14,-152.94,-14.34,Other
11107256467000,0,-93.96,-152.45999,-14.34,Other
11107274108000,0,-94.02,-151.8,-13.74,Other
11107284652000,0,-93.659996,-151.56,-13.38,Other
11107314352000,0,-93.6,-150.84,-12.719999,Other
11107334644000,0,-93.24,-149.94,-12.48,Other
11107354921000,0,-93.36,-149.45999,-12.3,Other
11107372431000,0,-93.72,-148.5,-12.179999,Other
11107383011000,0,-93.72,-148.2,-12.059999,Other
11107412690000,0,-94.259995,-147.66,-11.82,Other
11107432978000,0,-94.32,-146.94,-11.82,Other
11107453263000,0,-94.079994,-146.28,-11.82,Other
11107473548000,0,-93.9,-145.98,-11.94,Other
11107492155000,0,-94.079994,-145.26,-12.48,Other
11107511723000,0,-94.38,-144.84,-12.66,Other
11107532041000,0,-94.74,-144.48,-12.66,Other
11107552365000,0,-95.04,-143.52,-13.259999,Other
11107572640000,0,-95.22,-142.86,-12.96,Other
11107590391000,0,-95.1,-142.2,-12.599999,Other
11107601523000,0,-95.1,-142.2,-12.599999,Other
11107640718000,0,-95.4,-141.23999,-12.66,Other
11107660928000,0,-95.7,-140.34,-12.599999,Other
11107671003000,0,-95.88,-139.92,-12.54,Other
11107691194000,0,-96.24,-138.42,-12.3,Other
11107719196000,0,-96.72,-136.44,-11.04,Other
11107738897000,0,-96.72,-136.08,-11.219999,Other
11107759191000,0,-96.6,-134.64,-11.16,Other
11107779456000,0,-96.479996,-133.44,-11.7,Other
11107799728000,0,-96.119995,-132.23999,-12.24,Other
11107817380000,0,-95.939995,-130.68,-12.719999,Other
11107836926000,0,-96.24,-130.08,-12.9,Other
11107857228000,0,-96.6,-129.36,-13.559999,Other
11107877517000,0,-97.5,-128.4,-14.16,Other
11107897790000,0,-98.28,-127.56,-15.24,Other
11107915709000,0,-98.7,-127.14,-16.08,Other
11107935308000,0,-98.82,-126.84,-16.44,Other
11107955596000,0,-98.64,-126.71999,-18.119999,Other
11107975867000,0,-98.28,-126.54,-19.859999,Other
11107996142000,0,-97.799995,-126.899994,-21.84,Other
11108013947000,0,-97.2,-126.899994,-24.779999,Other
11108033535000,0,-97.02,-127.079994,-25.859999,Other
11108053819000,0,-96.299995,-127.02,-28.14,Other
11108074103000,0,-94.799995,-126.84,-30.3,Other
11108094393000,0,-93.36,-126.78,-32.64,Other
11108112441000,0,-91.02,-126.42,-34.2,Other
11108131850000,0,-89.88,-126.24,-35.04,Other
11108152050000,0,-87.96,-126.42,-36.54,Other
11108172223000,0,-85.68,-126.0,-37.68,Other
11108192431000,0,-83.88,-125.88,-38.52,Other
11108212631000,0,-82.439995,-126.0,-39.239998,Other
11108240345000,0,-80.1,-126.0,-40.379997,Other
11108260156000,0,-79.619995,-126.119995,-40.68,Other
11108280477000,0,-77.939995,-125.82,-41.399998,Other
11108300807000,0,-76.799995,-125.7,-42.059998,Other
11108310928000,0,-76.32,-125.7,-42.059998,Other
11108331206000,0,-75.36,-125.1,-42.54,Other
11108359597000,0,-74.1,-124.02,-42.6,Other
11108379111000,0,-73.439995,-123.71999,-42.54,Other
11108399388000,0,-72.299995,-123.36,-43.02,Other
11108419658000,0,-71.22,-123.299995,-43.559998,Other
11108439933000,0,-69.96,-123.84,-44.28,Other
11108457646000,0,-69.0,-124.259995,-44.76,Other
11108468232000,0,-68.34,-124.259995,-44.94,Other
11108497901000,0,-66.84,-123.659996,-45.0,Other
11108518176000,0,-65.64,-122.7,-44.16,Other
11108538447000,0,-64.32,-121.02,-43.26,Other
11108555875000,0,-63.78,-119.52,-41.7,Other
11108566388000,0,-63.78,-119.1,-40.8,Other
11108596101000,0,-63.84,-118.56,-40.559998,Other
11108606259000,0,-64.14,-118.14,-40.379997,Other
11108636561000,0,-66.0,-118.259995,-41.1,Other
11108656760000,0,-68.04,-118.439995,-42.54,Other
11108674279000,0,-70.799995,-119.1,-43.62,Other
11108693988000,1,4.7999997,14.28,-19.439999,Other
